,Source Account,Text,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
85,BBC News (World),"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",Tue Jul 31 10:11:57 +0000 2018,-0.612,0.0,0.625,0.375,86
86,BBC News (World),"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",Tue Jul 31 09:21:52 +0000 2018,-0.586,0.0,0.652,0.348,87
87,BBC News (World),Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,Tue Jul 31 08:57:57 +0000 2018,0.0,0.0,1.0,0.0,88
88,BBC News (World),New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,Tue Jul 31 07:52:33 +0000 2018,0.0,0.0,1.0,0.0,89
89,BBC News (World),India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,Tue Jul 31 07:47:23 +0000 2018,-0.66,0.0,0.565,0.435,90
90,BBC News (World),"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",Tue Jul 31 07:14:46 +0000 2018,0.494,0.186,0.814,0.0,91
91,BBC News (World),Does the death penalty deter rape in India? https://t.co/x214kpsRsn,Tue Jul 31 07:02:10 +0000 2018,-0.912,0.0,0.341,0.659,92
92,BBC News (World),False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,Tue Jul 31 05:49:49 +0000 2018,0.0,0.0,1.0,0.0,93
93,BBC News (World),Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,Tue Jul 31 03:37:41 +0000 2018,0.0,0.0,1.0,0.0,94
94,BBC News (World),Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,Tue Jul 31 03:16:41 +0000 2018,-0.459,0.0,0.7,0.3,95
95,BBC News (World),"RT @AboutTheBBC: More women than ever before are watching, reading and listening to the BBC in #Afghanistan, thanks to @BBCWorldService htt…",Tue Jul 31 02:40:07 +0000 2018,0.44,0.127,0.873,0.0,96
96,BBC News (World),"North Korea 'working on new missiles', US officials say https://t.co/N84Oc6IKIS",Tue Jul 31 02:25:20 +0000 2018,0.0,0.0,1.0,0.0,97
97,BBC News (World),"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",Tue Jul 31 01:52:42 +0000 2018,0.361,0.106,0.894,0.0,98
98,BBC News (World),UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,Tue Jul 31 00:54:45 +0000 2018,-0.691,0.0,0.598,0.402,99
99,BBC News (World),Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,Tue Jul 31 00:44:23 +0000 2018,-0.66,0.0,0.649,0.351,100
100,CBS,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,Tue Jul 31 21:02:33 +0000 2018,0.91,0.451,0.549,0.0,1
101,CBS,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",Sat Jul 28 16:43:56 +0000 2018,0.34,0.124,0.876,0.0,2
102,CBS,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",Wed Jul 25 17:25:36 +0000 2018,0.75,0.273,0.727,0.0,3
103,CBS,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",Wed Jul 25 15:12:31 +0000 2018,0.0,0.0,1.0,0.0,4
104,CBS,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,Wed Jul 25 01:05:03 +0000 2018,0.34,0.118,0.882,0.0,5
105,CBS,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",Tue Jul 24 18:54:14 +0000 2018,-0.151,0.068,0.834,0.099,6
106,CBS,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,Mon Jul 23 21:30:33 +0000 2018,0.829,0.34,0.66,0.0,7
107,CBS,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,Sun Jul 22 01:56:13 +0000 2018,0.128,0.073,0.927,0.0,8
108,CBS,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,Sat Jul 21 00:55:28 +0000 2018,-0.296,0.0,0.891,0.109,9
109,CBS,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,Sat Jul 21 00:19:12 +0000 2018,-0.296,0.0,0.891,0.109,10
110,CBS,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",Sat Jul 21 00:10:00 +0000 2018,-0.796,0.0,0.736,0.264,11
111,CBS,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,Fri Jul 20 23:44:54 +0000 2018,-0.66,0.0,0.82,0.18,12
112,CBS,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",Fri Jul 20 22:29:36 +0000 2018,0.318,0.095,0.905,0.0,13
113,CBS,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,Fri Jul 20 21:39:09 +0000 2018,0.0,0.0,1.0,0.0,14
114,CBS,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",Fri Jul 20 15:08:23 +0000 2018,0.0,0.0,1.0,0.0,15
115,CBS,🤰👩‍👧🚫🍸 #WorldEmojiDay,Tue Jul 17 17:55:25 +0000 2018,0.0,0.0,1.0,0.0,16
116,CBS,👨📝✔️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,17
117,CBS,👩‍💼💼🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,18
118,CBS,🕵️🕵️‍♀️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,19
119,CBS,⚓️🦅🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,20
120,CBS,🏄🌴🚔 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,21
121,CBS,💙👮🍽 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,22
122,CBS,💣📎 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,23
123,CBS,🌎☄️ #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,24
124,CBS,🏷💰🎰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,25
125,CBS,👶😴🚫 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,26
126,CBS,🤝💼💰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,27
127,CBS,💄👠📷 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,28
128,CBS,🏝🔥💵 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,29
129,CBS,🐮⚖️ #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,30
130,CBS,🏠📹📹📹 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,31
131,CBS,👶💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,32
132,CBS,💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:26 +0000 2018,0.0,0.0,1.0,0.0,33
133,CBS,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,Tue Jul 17 17:22:26 +0000 2018,0.807,0.258,0.742,0.0,34
134,CBS,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",Fri Jul 13 21:35:01 +0000 2018,0.114,0.078,0.922,0.0,35
135,CBS,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",Fri Jul 13 21:15:41 +0000 2018,-0.44,0.0,0.868,0.132,36
136,CBS,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,Fri Jul 13 17:49:38 +0000 2018,0.0,0.0,1.0,0.0,37
137,CBS,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,Thu Jul 12 01:01:24 +0000 2018,0.651,0.282,0.718,0.0,38
138,CBS,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",Wed Jul 11 21:44:45 +0000 2018,0.556,0.174,0.826,0.0,39
139,CBS,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",Wed Jul 11 19:09:34 +0000 2018,0.541,0.143,0.857,0.0,40
140,CBS,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,Mon Jul 09 23:55:07 +0000 2018,0.0,0.0,1.0,0.0,41
141,CBS,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",Mon Jul 09 18:53:34 +0000 2018,-0.382,0.0,0.894,0.106,42
142,CBS,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",Mon Jul 09 18:09:00 +0000 2018,0.318,0.103,0.897,0.0,43
143,CBS,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",Fri Jul 06 22:22:55 +0000 2018,0.402,0.153,0.847,0.0,44
144,CBS,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,Fri Jul 06 18:26:37 +0000 2018,0.862,0.39,0.61,0.0,45
145,CBS,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,Thu Jul 05 21:12:17 +0000 2018,0.361,0.102,0.898,0.0,46
146,CBS,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",Mon Jul 02 21:13:11 +0000 2018,0.318,0.108,0.892,0.0,47
147,CBS,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,Mon Jul 02 20:47:32 +0000 2018,0.0,0.0,1.0,0.0,48
148,CBS,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,Mon Jul 02 17:27:06 +0000 2018,0.0,0.0,1.0,0.0,49
